Legislation Number,Title,Sponsor,Date of Introduction
H.R. 365,Methamphetamine Remediation Research Act of 2007,"Gordon, Bart [Rep.-D-TN-6]",01/10/2007
H.R. 342,"To designate the United States courthouse located at 555 Independence Street in Cape Girardeau, Missouri, as the ""Rush Hudson Limbaugh, Sr. United States Courthouse"".","Emerson, Jo Ann [Rep.-R-MO-8]",01/09/2007
H.R. 335,"To designate the facility of the United States Postal Service located at 152 North 5th Street in Laramie, Wyoming, as the ""Gale W. McGee Post Office"".","Cubin, Barbara [Rep.-R-WY-At Large]",01/09/2007
H.R. 327,Joshua Omvig Veterans Suicide Prevention Act,"Boswell, Leonard L. [Rep.-D-IA-3]",01/09/2007
H.R. 188,To provide a new effective date for the applicability of certain provisions of law to Public Law 105-331.,"Pallone, Frank, Jr. [Rep.-D-NJ-6]",01/04/2007
H.R. 137,Animal Fighting Prohibition Enforcement Act of 2007,"Gallegly, Elton [Rep.-R-CA-24]",01/04/2007
H.R. 57,"To repeal certain sections of the Act of May 26, 1936, pertaining to the Virgin Islands.","Christensen, Donna M. [Del.-D-VI-At Large]",01/04/2007
H.R. 50,Multinational Species Conservation Funds Reauthorization Act of 2007,"Young, Don [Rep.-R-AK-At Large]",01/04/2007
H.R. 49,"To designate the facility of the United States Postal Service located at 1300 North Frontage Road West in Vail, Colorado, as the ""Gerald R. Ford, Jr. Post Office Building"".","Udall, Mark [Rep.-D-CO-2]",01/04/2007
H.R. 6,Energy Independence and Security Act of 2007,"Rahall, Nick J., II [Rep.-D-WV-3]",01/12/2007
H.R. 1,Implementing Recommendations of the 9/11 Commission Act of 2007,"Thompson, Bennie G. [Rep.-D-MS-2]",01/05/2007
H.J.Res. 100,Appointing the day for the convening of the first session of the One Hundred Eleventh Congress and establishing the date for the counting of the electoral votes for President and Vice President cast by the electors in December 2008.,"Arcuri, Michael A. [Rep.-D-NY-24]",09/28/2008
H.J.Res. 93,Approving the renewal of import restrictions contained in the Burmese Freedom and Democracy Act of 2003.,"Crowley, Joseph [Rep.-D-NY-7]",06/05/2008
H.J.Res. 72,"Making further continuing appropriations for the fiscal year 2008, and for other purposes.","Obey, David R. [Rep.-D-WI-7]",12/18/2007
H.J.Res. 70,"Congratulating the Army Reserve on its centennial, which will be formally celebrated on April 23, 2008, and commemorating the historic contributions of its veterans and continuing contributions of its soldiers to the vital national security interests and homeland defense missions of the United States.","Bishop, Sanford D., Jr. [Rep.-D-GA-2]",12/13/2007
H.J.Res. 69,"Making further continuing appropriations for the fiscal year 2008, and for other purposes.","Obey, David R. [Rep.-D-WI-7]",12/12/2007
H.J.Res. 62,Native American Heritage Day Act of 2008,"Baca, Joe [Rep.-D-CA-43]",11/13/2007
H.J.Res. 52,"Making continuing appropriations for the fiscal year 2008, and for other purposes.","Obey, David R. [Rep.-D-WI-7]",09/25/2007
H.J.Res. 44,"Joint resolution approving the renewal of import restrictions contained in the Burmese Freedom and Democracy Act of 2003, and for other purposes.","Lantos, Tom [Rep.-D-CA-12]",05/24/2007
H.J.Res. 43,Increasing the statutory limit on the public debt.,,05/17/2007
H.J.Res. 20,"Revised Continuing Appropriations Resolution, 2007","Obey, David R. [Rep.-D-WI-7]",01/29/2007
S. 3712,A bill to make a technical correction in the Paul Wellstone and Pete Domenici Mental Health Parity and Addiction Equity Act of 2008.,"Kennedy, Edward M. [Sen.-D-MA]",11/20/2008
S. 3663,Short-term Analog Flash and Emergency Readiness Act,"Rockefeller, John D., IV [Sen.-D-WV]",10/01/2008
S. 3641,A bill to authorize funding for the National Crime Victim Law Institute to provide support for victims of crime under Crime Victims Legal Assistance Programs as a part of the Victims of Crime Act of 1984.,"Kyl, Jon [Sen.-R-AZ]",09/27/2008
S. 3606,Special Immigrant Nonminister Religious Worker Program Act,"Hatch, Orrin G. [Sen.-R-UT]",09/26/2008
S. 3605,Criminal History Background Checks Pilot Extension Act of 2008,"Biden, Joseph R., Jr. [Sen.-D-DE]",09/26/2008
S. 3598,Drug Trafficking Vessel Interdiction Act of 2008,"Inouye, Daniel K. [Sen.-D-HI]",09/25/2008
S. 3597,"A bill to provide that funds allocated for community food projects for fiscal year 2008 shall remain available until September 30, 2009.","Harkin, Tom [Sen.-D-IA]",09/25/2008
S. 3569,Judicial Administration and Technical Amendments Act of 2008,"Schumer, Charles E. [Sen.-D-NY]",09/24/2008
S. 3560,QI Program Supplemental Funding Act of 2008,"Baucus, Max [Sen.-D-MT]",09/24/2008
S. 3550,"An original bill to designate a portion of the Rappahannock River in the Commonwealth of Virginia as the ""John W. Warner Rapids"".","Boxer, Barbara [Sen.-D-CA]",09/24/2008
S. 3536,Air Carriage of International Mail Act,"Carper, Thomas R. [Sen.-D-DE]",09/22/2008
S. 3477,Presidential Historical Records Preservation Act of 2008,"Warner, John [Sen.-R-VA]",09/11/2008
S. 3406,ADA Amendments Act of 2008,"Harkin, Tom [Sen.-D-IA]",07/31/2008
S. 3370,Libyan Claims Resolution Act,"Biden, Joseph R., Jr. [Sen.-D-DE]",07/31/2008
S. 3352,A bill to temporarily extend the programs under the Higher Education Act of 1965.,"Kennedy, Edward M. [Sen.-D-MA]",07/28/2008
S. 3325,Prioritizing Resources and Organization for Intellectual Property Act of 2008,"Leahy, Patrick J. [Sen.-D-VT]",07/24/2008
S. 3298,"A bill to clarify the circumstances during which the Administrator of the Environmental Protection Agency and applicable States may require permits for discharges from certain vessels, and to require the Administrator to conduct a study of discharges incidental to the normal operation of vessels.","Murkowski, Lisa [Sen.-R-AK]",07/22/2008
S. 3296,A bill to extend the authority of the United States Supreme Court Police to protect court officials off the Supreme Court Grounds and change the title of the Administrative Assistant to the Chief Justice.,"Leahy, Patrick J. [Sen.-D-VT]",07/21/2008
S. 3295,"A bill to amend title 35, United States Code, and the Trademark Act of 1946 to provide that the Secretary of Commerce, in consultation with the Director of the United States Patent and Trademark Office, shall appoint administrative patent judges and administrative trademark judges, and for other purposes.","Leahy, Patrick J. [Sen.-D-VT]",07/21/2008
S. 3294,United States Parole Commission Extension Act of 2008,"Leahy, Patrick J. [Sen.-D-VT]",07/21/2008
S. 3241,"A bill to designate the facility of the United States Postal Service located at 1717 Orange Avenue in Fort Pierce, Florida, as the ""CeeCee Ross Lyles Post Office Building"".","Martinez, Mel [Sen.-R-FL]",07/10/2008
S. 3218,Criminal History Background Checks Pilot Extension Act of 2008,"Biden, Joseph R., Jr. [Sen.-D-DE]",06/26/2008
S. 3197,National Guard and Reservists Debt Relief Act of 2008,"Durbin, Richard J. [Sen.-D-IL]",06/25/2008
S. 3180,A bill to temporarily extend the programs under the Higher Education Act of 1965.,"Kennedy, Edward M. [Sen.-D-MA]",06/23/2008
S. 3145,"A bill to designate a portion of United States Route 20A, located in Orchard Park, New York, as the ""Timothy J. Russert Highway"".","Clinton, Hillary Rodham [Sen.-D-NY]",06/18/2008
S. 3128,White Mountain Apache Tribe Rural Water System Loan Authorization Act,"Kyl, Jon [Sen.-R-AZ]",06/12/2008
S. 3082,"A bill to designate the facility of the United States Postal Service located at 1700 Cleveland Avenue in Kansas City, Missouri, as the ""Reverend Earl Abel Post Office Building"".","McCaskill, Claire [Sen.-D-MO]",06/04/2008
S. 3035,A bill to temporarily extend the programs under the Higher Education Act of 1965.,"Kennedy, Edward M. [Sen.-D-MA]",05/20/2008
S. 3029,"A bill to provide for an additional temporary extension of programs under the Small Business Act and the Small Business Investment Act of 1958, and for other purposes.","Kerry, John F. [Sen.-D-MA]",05/15/2008
S. 3023,Veterans' Benefits Improvement Act of 2008,"Akaka, Daniel K. [Sen.-D-HI]",05/15/2008
S. 3015,"A bill to designate the facility of the United States Postal Service located at 18 S. G Street, Lakeview, Oregon, as the ""Dr. Bernard Daly Post Office Building"".","Smith, Gordon H. [Sen.-R-OR]",05/14/2008
S. 3009,"A bill to designate the Federal Bureau of Investigation building under construction in Omaha, Nebraska, as the ""J. James Exon Federal Bureau of Investigation Building"".","Nelson, Ben [Sen.-D-NE]",05/12/2008
S. 3001,Duncan Hunter National Defense Authorization Act for Fiscal Year 2009,"Levin, Carl [Sen.-D-MI]",05/12/2008
S. 2982,Reconnecting Homeless Youth Act of 2008,"Leahy, Patrick J. [Sen.-D-VT]",05/06/2008
S. 2967,"A bill to provide for certain Federal employee benefits to be continued for certain employees of the Senate Restaurants after operations of the Senate Restaurants are contracted to be performed by a private business concern, and for other purposes.","Feinstein, Dianne [Sen.-D-CA]",05/01/2008
S. 2954,"A bill to amend Public Law 110-196 to provide for a temporary extension of programs authorized by the Farm Security and Rural Investment Act of 2002 beyond May 2, 2008.","Harkin, Tom [Sen.-D-IA]",05/01/2008
S. 2932,"Poison Center Support, Enhancement, and Awareness Act of 2008","Murray, Patty [Sen.-D-WA]",04/29/2008
S. 2929,A bill to temporarily extend the programs under the Higher Education Act of 1965.,"Kennedy, Edward M. [Sen.-D-MA]",04/29/2008
S. 2903,"A bill to amend Public Law 110-196 to provide for a temporary extension of programs authorized by the Farm Security and Rural Investment Act of 2002 beyond April 25, 2008.","Harkin, Tom [Sen.-D-IA]",04/24/2008
S. 2840,Military Personnel Citizenship Processing Act,"Schumer, Charles E. [Sen.-D-NY]",04/10/2008
S. 2837,"A bill to designate the United States courthouse located at 225 Cadman Plaza East, Brooklyn, New York, as the ""Theodore Roosevelt United States Courthouse"".","Schumer, Charles E. [Sen.-D-NY]",04/09/2008
S. 2829,"A bill to make technical corrections to section 1244 of the National Defense Authorization Act for Fiscal Year 2008, which provides special immigrant status for certain Iraqis, and for other purposes.","Kennedy, Edward M. [Sen.-D-MA]",04/08/2008
S. 2816,A bill to provide for the appointment of the Chief Human Capital Officer of the Department of Homeland Security by the Secretary of Homeland Security.,"Voinovich, George V. [Sen.-R-OH]",04/03/2008
S. 2766,Clean Boating Act of 2008,"Nelson, Bill [Sen.-D-FL]",03/13/2008
S. 2745,"A bill to extend agricultural programs beyond March 15, 2008, to suspend permanent price support authorities beyond that date, and for other purposes.","Harkin, Tom [Sen.-D-IA]",03/12/2008
S. 2739,Consolidated Natural Resources Act of 2008,"Bingaman, Jeff [Sen.-D-NM]",03/10/2008
S. 2733,Higher Education Extension Act of 2008,"Kennedy, Edward M. [Sen.-D-MA]",03/07/2008
S. 2617,Veterans' Compensation Cost-of-Living Adjustment Act of 2008,"Akaka, Daniel K. [Sen.-D-HI]",02/08/2008
S. 2607,DTV Transition Assistance Act,"Snowe, Olympia J. [Sen.-R-ME]",02/07/2008
S. 2606,United States Fire Administration Reauthorization Act of 2008,"Dodd, Christopher J. [Sen.-D-CT]",02/07/2008
S. 2571,"A bill to make technical corrections to the Federal Insecticide, Fungicide, and Rodenticide Act.","Harkin, Tom [Sen.-D-IA]",01/29/2008
S. 2565,Law Enforcement Congressional Badge of Bravery Act of 2008,"Biden, Joseph R., Jr. [Sen.-D-DE]",01/29/2008
S. 2516,Kendell Frederick Citizenship Assistance Act,"Mikulski, Barbara A. [Sen.-D-MD]",12/18/2007
S. 2499,"Medicare, Medicaid, and SCHIP Extension Act of 2007","Baucus, Max [Sen.-D-MT]",12/18/2007
S. 2488,OPEN Government Act of 2007,"Leahy, Patrick J. [Sen.-D-VT]",12/14/2007
S. 2484,A bill to rename the National Institute of Child Health and Human Development as the Eunice Kennedy Shriver National Institute of Child Health and Human Development.,"Hatch, Orrin G. [Sen.-R-UT]",12/13/2007
S. 2482,"A bill to repeal the provision of title 46, United States Code, requiring a license for employment in the business of salvaging on the coast of Florida.","Nelson, Bill [Sen.-D-FL]",12/13/2007
S. 2478,"A bill to designate the facility of the United States Postal Service located at 59 Colby Corner in East Hampstead, New Hampshire, as the ""Captain Jonathan D. Grassbaugh Post Office"".","Sununu, John E. [Sen.-R-NH]",12/13/2007
S. 2457,A bill to provide for extensions of leases of certain land by Mashantucket Pequot (Western) Tribe.,"Lieberman, Joseph I. [Sen.-ID-CT]",12/12/2007
S. 2450,A bill to amend the Federal Rules of Evidence to address the waiver of the attorney-client privilege and the work product doctrine.,"Leahy, Patrick J. [Sen.-D-VT]",12/11/2007
S. 2436,A bill to amend the Internal Revenue Code of 1986 to clarify the term of the Commissioner of Internal Revenue.,"Baucus, Max [Sen.-D-MT]",12/10/2007
S. 2420,Federal Food Donation Act of 2008,"Schumer, Charles E. [Sen.-D-NY]",12/06/2007
S. 2403,"To designate the United States courthouse located in the 700 block of East Broad Street, Richmond, Virginia, as the ""Spottswood W. Robinson III and Robert R. Merhige, Jr., United States Courthouse"".","Warner, John [Sen.-R-VA]",12/03/2007
S. 2371,A bill to amend the Higher Education Act of 1965 to make technical corrections.,"Kennedy, Edward M. [Sen.-D-MA]",11/15/2007
S. 2339,"A bill to designate the Department of Veterans Affairs clinic in Alpena, Michigan, as the ""Lieutenant Colonel Clement C. Van Wagoner Department of Veterans Affairs Clinic"".","Stabenow, Debbie [Sen.-D-MI]",11/13/2007
S. 2304,Mentally Ill Offender Treatment and Crime Reduction Reauthorization and Improvement Act of 2008,"Domenici, Pete V. [Sen.-R-NM]",11/05/2007
S. 2272,"A bill to designate the facility of the United States Postal Service known as the Southpark Station in Alexandria, Louisiana, as the John ""Marty"" Thiels Southpark Station, in honor and memory of Thiels, a Louisiana postal worker who was killed in the line of duty on October 4, 2007.","Vitter, David [Sen.-R-LA]",10/31/2007
S. 2271,Sudan Accountability and Divestment Act of 2007,"Dodd, Christopher J. [Sen.-D-CT]",10/31/2007
S. 2258,Third Higher Education Extension Act of 2007,"Kennedy, Edward M. [Sen.-D-MA]",10/30/2007
S. 2206,"A bill to provide technical corrections to Public Law 109-116 (2 U.S.C. 2131a note) to extend the time period for the Joint Committee on the Library to enter into an agreement to obtain a statue of Rosa Parks, and for other purposes.","Feinstein, Dianne [Sen.-D-CA]",10/18/2007
S. 2174,"A bill to designate the facility of the United States Postal Service located at 175 South Monroe Street in Tiffin, Ohio, as the ""Paul E. Gillmor Post Office Building"".","Voinovich, George V. [Sen.-R-OH]",10/17/2007
S. 2162,Veterans' Mental Health and Other Care Improvements Act of 2008,"Akaka, Daniel K. [Sen.-D-HI]",10/15/2007
S. 2146,"A bill to authorize the Administrator of the Environmental Protection Agency to accept, as part of a settlement, diesel emission reduction Supplemental Environmental Projects, and for other purposes.","Carper, Thomas R. [Sen.-D-DE]",10/04/2007
S. 2135,Child Soldiers Accountability Act of 2008,"Durbin, Richard J. [Sen.-D-IL]",10/03/2007
S. 2110,"A bill to designate the facility of the United States Postal Service located at 427 North Street in Taft, California, as the ""Larry S. Pierce Post Office"".","Feinstein, Dianne [Sen.-D-CA]",09/27/2007
S. 2106,Procedural Fairness for September 11 Victims Act of 2007,"Biden, Joseph R., Jr. [Sen.-D-DE]",09/27/2007
S. 1983,Pesticide Registration Improvement Renewal Act,"Harkin, Tom [Sen.-D-IA]",08/02/2007
S. 1927,Protect America Act of 2007,"McConnell, Mitch [Sen.-R-KY]",08/01/2007
S. 1916,Chimp Haven is Home Act,"Burr, Richard [Sen.-R-NC]",08/01/2007
